CartID,ClientEmail,DateSold,TimeSold
1,AliceSmith@gmail.com,2023-04-09,7:56
2,BobAdams@gmail.com,2023-04-08,9:41
3,CharlieJordan@gmail.com,2023-04-07,5:57
4,DarrenColpits@gmail.com,2023-04-06,8:51
5,EthanBillard@gmail.com,2023-04-05,10:39
6,JacksonCarnegie@gmail.com,2023-04-04,8:23
7,JustinYates@gmail.com,2023-04-03,8:11
8,ChloeRuiz@gmail.com,2023-04-02,1:23
9,MadisonDuffy@gmail.com,2023-04-01,12:01
10,AustenPrezi@gmail.com,2023-03-31,12:45
11,MitchelPeire@gmail.com,2023-03-30,3:40
12,CharlieMitchel@gmail.com,2023-03-29,3:06
13,JamesAusten@gmail.com,2023-03-28,9:25
14,QuintonBashard@gmail.com,2023-03-27,7:24
15,AlfredBarrot@gmail.com,2023-03-26,12:02
16,JordonJames@gmail.com,2023-03-25,2:56
17,KellyeBalkin@gmail.com,2023-03-24,9:49
18,CooperNelson@gmail.com,2023-03-23,3:00
19,SloanElson@gmail.com,2023-03-22,11:44
